statement,label
dear world you are not allowed to talk about a thing unless you talk about all the other things love  ,neutral
zerozero ## bst temperature one# #c wind ssw zero mph ave # mph gust humidity ## rain hoy zero zero mm pressure onezeroone# hpa falling slowl,negative
 ,neutral
neutral,negative
 maybe one day we will hug,neutral
 perrfect exclamation enjoy it for me exclamation happy,positive
    very well said exclamation exclamation,positive
,neutral
it is still wednesday exclamation my first non courtier crypt ghast ,neutral
 ,neutral
 hi sorry i hope you do not mind me following you on here at all i am hayley and i also love as well happy,positive
love my bro ,negative
a long time by mayer hawthorne is in harrods london,negative
in  on ##p t bar beer mug ,negative
gee's little laugh is adorable sparkles smiling face see no evil monkey,positive
tier is relevant,negative
oi oi ,negative
 lol very very sugary drinks and fizzy shit pensive face pensive face,negative
najwiksi ktrych zabraknie na euro we francji ,negative
a saudi wealth fund just invested # #bn in uber  via ,negative
so she had just self expressed herself to death now nothing's left dove cherry blossom sun behind large cloud sparkles,negative
 i only have pizzas at #am if i have been drinking unfortunately i have not today p,negative
best teams in england winking face with tongue ,negative
nude face with tears of joy ,negative
  snap and i am not going to judge someone too harshly if they got an easier draw,negative
my mood is pile of poo,positive
need to get hold of  book before i fly back to south africa this weekend,negative
 lots of love revolving hearts,negative
just posted a photo basingstoke ,negative
 i will facetime you tonighy xx,negative
happy birthday erin jean would be proud x ,positive
i am too buzzing that i do not need to be up early tomorrow,positive
  i am sorry i do not normally persuade people to get together but thinking about it for a long time i miss you exclamation red heart face blowing a kiss,positive
ayy the mixtape is flames grimacing face ,negative
when your telling your mum about things you do at gigs but she always brings up stage diving at pantera and having her arm around dimebag,negative
  ,neutral
future pm and that houses of parliament westminster ,positive
i miss my mum disappointed face wish she would just come out of hospital and she is only been in a day exclamation exclamation,positive
british empire medal honours for bucks volunteers  ,positive
 eek tell your parents and maybe go to the hospital if it is still hurting,negative
 not really exclamation i have got almost everything i need digitally exclamation though are a few things i am still looking for exclamation,negative
 thank youu nat exclamation,positive
anyone doing design exam tomorrow fancy taking one for the team and dying please grinning face with smiling eyes skull,positive
read minds ,positive
onwards exclamation urquhart castle ,positive
 la la land some believe anything bless,negative
on air in #zero,negative
 you hate anything different from mainstream music pussy unamused face,negative
  face with tears of joy,negative
   fair point dan bizier numbers i am still on a comedown after sunday haha want another stadium fight exclamation,negative
 i like your header,neutral
 fuck off am lush now,negative
#one one# bst temperature one# zeroc wind sw # mph ave # mph gust humidity #zero rain hoy zero zero mm pressure onezeroone# hpa rising slowly,negative
why did i nap today,negative
i have been rather absent recently so i think i am going to commit to at least one tweet a day even a small audience can have a big impact,negative
 x##,neutral
 happy birthday have a mint day exclamation x,positive
i miss my mum disappointed face wish she would just come out of hospital and she is only been in a day exclamation exclamation,positive
for great broadband deals in w# zeroee visit ,negative
 evening kerry exclamation how are you tonight,positive
today i made a life changing decision which truly brings on my next chapter also the true definition of winging it ,negative
       excellent exclamation,neutral
  my mum in mid #zeros pushed into road by black migrants # sons with disabilities attacked robbed you think we need mor,negative
,neutral
i love love island,negative
 still going on about this,negative
 smiling face,negative
spot on ,negative
 awesome # shows today exclamation good to catch you after exclamation see ya soon exclamation xx,neutral
how arrogantly they are we asleep ,negative
feel so shitty unhappy,positive
cleethorpes man charged with burglary ,positive
 why you up so late glen,positive
  hoping to see his family on tv maybe,negative
 i defiantly want one of these i love the gold lion smiling face with heart eyes,positive
 lol,negative
 go by how it feels if you look at it it feels like you could change it without difficulties go for it i did and it was thumbs up,negative
downloading from the mothership again ,negative
face with tears of joy face with tears of joy ,negative
 patting,neutral
'david cameron's 'fantastically corrupt' gaffe mocked by afghan delegation at anti corruption summit' ,negative
canny wait ,negative
deep thoughts from t ,negative
for # i could hardly resist ,negative
  turner trophy lodgey v the # time champion exclamation exclamation this is the time when you need to pray to god folded hands amen exclamation,negative
still buzzing after that win tonight that is why we are the champions pool # ball clapping hands,negative
 is the cover bodies if it is not fuck u,negative
 i am your noone fan could i get a retweet meet you at the marry park dream day best day of my life grinning face with big eyes,positive
thanks  overwhelmed to win volunteers award proud to represent  thanks  gr# hosts ,neutral
listened to she after being out for over a year and i applaud  for being so open a vulnerable to help us all thanks a bunch red heart,negative
eric's wife and daughter dies with one arrow double kill face with tears of joy,positive
 adrian,neutral
 a warm thank you # following me i very much appreciate your valuable twitter time good # connect ,positive
 london comiccon exclamation nxt one in oct will let you know join us happy london anime gaming is on in july i prefer multigenre comiccon,positive
 i am ok thanks yourself,neutral
ughh,positive
 thanks for the follow daniel exclamation you getting much action in season #,positive
find out more about dunkies in seaford ,negative
     ,neutral
there is being fat and being fat like how you going to have two hundred chins,negative
